timestamp,zone_id,soil_moisture_pct,tank_level_liters,pump_flow_lpm,pump_power_watts,sensor_status,date,rainfall_mm,temperature_c,humidity_pct,wind_speed_mps,solar_index,crop_type,area_m2,min_moisture_pct,target_moisture_pct,field_capacity_pct,drainage_coefficient
2026-03-01 12:00:00,Zone_A,33.2,4829,18.8,437,OK,2026-03-01,3.2,23.8,69.7,2.28,0.78,tomato,120,22,33,41,0.18
2026-03-01 12:00:00,Zone_B,34.7,4728,22.1,461,OK,2026-03-01,3.2,23.8,69.7,2.28,0.78,kale,90,24,35,43,0.15
2026-03-01 12:00:00,Zone_C,28.2,4515,25.7,490,OK,2026-03-01,3.2,23.8,69.7,2.28,0.78,maize,180,20,31,40,0.22
2026-03-02 12:00:00,Zone_A,36.1,4757,16.6,411,OK,2026-03-02,2.2,25.9,62.0,1.62,0.71,tomato,120,22,33,41,0.18
2026-03-02 12:00:00,Zone_B,32.0,4645,20.4,445,OK,2026-03-02,2.2,25.9,62.0,1.62,0.71,kale,90,24,35,43,0.15
2026-03-02 12:00:00,Zone_C,31.0,4519,24.6,492,OK,2026-03-02,2.2,25.9,62.0,1.62,0.71,maize,180,20,31,40,0.22
2026-03-03 12:00:00,Zone_A,33.7,4791,17.1,438,OK,2026-03-03,3.0,26.8,64.4,2.11,0.75,tomato,120,22,33,41,0.18
2026-03-03 12:00:00,Zone_B,34.9,4603,22.1,454,OK,2026-03-03,3.0,26.8,64.4,2.11,0.75,kale,90,24,35,43,0.15
2026-03-03 12:00:00,Zone_C,28.9,4552,26.0,490,OK,2026-03-03,3.0,26.8,64.4,2.11,0.75,maize,180,20,31,40,0.22
2026-03-04 12:00:00,Zone_A,31.8,4704,17.5,444,OK,2026-03-04,1.6,27.0,64.6,2.09,0.58,tomato,120,22,33,41,0.18
2026-03-04 12:00:00,Zone_B,35.3,4552,21.2,441,OK,2026-03-04,1.6,27.0,64.6,2.09,0.58,kale,90,24,35,43,0.15
2026-03-04 12:00:00,Zone_C,29.3,4419,28.8,500,OK,2026-03-04,1.6,27.0,64.6,2.09,0.58,maize,180,20,31,40,0.22
2026-03-05 12:00:00,Zone_A,33.3,4836,16.5,438,OK,2026-03-05,23.7,26.6,61.0,1.36,0.62,tomato,120,22,33,41,0.18
2026-03-05 12:00:00,Zone_B,34.6,4616,20.7,462,OK,2026-03-05,23.7,26.6,61.0,1.36,0.62,kale,90,24,35,43,0.15
2026-03-05 12:00:00,Zone_C,28.3,4518,28.2,506,OK,2026-03-05,23.7,26.6,61.0,1.36,0.62,maize,180,20,31,40,0.22
2026-03-06 12:00:00,Zone_A,34.1,4529,20.3,418,OK,2026-03-06,0.0,26.7,66.8,3.07,0.49,tomato,120,22,33,41,0.18
2026-03-06 12:00:00,Zone_C,27.7,4423,24.8,488,OK,2026-03-06,0.0,26.7,66.8,3.07,0.49,maize,180,20,31,40,0.22
2026-03-07 12:00:00,Zone_A,30.6,4520,17.8,430,OK,2026-03-06,0.0,26.7,66.8,3.07,0.49,tomato,120,22,33,41,0.18
2026-03-07 12:00:00,Zone_B,31.7,4479,22.9,450,OK,2026-03-07,1.3,24.9,61.2,1.83,0.72,kale,90,24,35,43,0.15
2026-03-07 12:00:00,Zone_C,28.7,4348,26.4,499,OK,2026-03-07,1.3,24.9,61.2,1.83,0.72,maize,180,20,31,40,0.22
2026-03-08 12:00:00,Zone_A,31.4,4513,16.9,430,OK,2026-03-07,1.3,24.9,61.2,1.83,0.72,tomato,120,22,33,41,0.18
2026-03-08 12:00:00,Zone_B,29.9,4409,19.8,466,OK,2026-03-08,0.0,24.9,69.6,3.1,0.65,kale,90,24,35,43,0.15
2026-03-08 12:00:00,Zone_C,25.7,4247,26.1,489,OK,2026-03-08,0.0,24.9,69.6,3.1,0.65,maize,180,20,31,40,0.22
2026-03-09 12:00:00,Zone_A,29.1,4497,19.2,419,OK,2026-03-08,0.0,24.9,69.6,3.1,0.65,tomato,120,22,33,41,0.18
2026-03-09 12:00:00,Zone_B,31.6,4370,22.0,454,OK,2026-03-09,0.0,23.6,64.0,2.12,0.72,kale,90,24,35,43,0.15
2026-03-09 12:00:00,Zone_C,27.0,4203,27.9,502,OK,2026-03-09,0.0,23.6,64.0,2.12,0.72,maize,180,20,31,40,0.22
2026-03-10 12:00:00,Zone_A,29.7,4537,15.9,442,OK,2026-03-09,0.0,23.6,64.0,2.12,0.72,tomato,120,22,33,41,0.18
2026-03-10 12:00:00,Zone_B,36.0,4475,23.6,455,OK,2026-03-10,18.4,22.5,74.4,2.62,0.76,kale,90,24,35,43,0.15
2026-03-10 12:00:00,Zone_C,26.6,4276,25.4,493,OK,2026-03-10,18.4,22.5,74.4,2.62,0.76,maize,180,20,31,40,0.22
2026-03-11 12:00:00,Zone_A,30.1,4371,16.9,409,OK,2026-03-10,18.4,22.5,74.4,2.62,0.76,tomato,120,22,33,41,0.18
2026-03-11 12:00:00,Zone_B,30.8,4280,20.7,471,OK,2026-03-11,6.7,22.4,67.6,2.32,0.8,kale,90,24,35,43,0.15
2026-03-11 12:00:00,Zone_C,26.9,4216,25.9,463,OK,2026-03-11,6.7,22.4,67.6,2.32,0.8,maize,180,20,31,40,0.22
2026-03-12 12:00:00,Zone_A,29.4,4384,19.8,434,OK,2026-03-11,6.7,22.4,67.6,2.32,0.8,tomato,120,22,33,41,0.18
2026-03-12 12:00:00,Zone_B,26.5,4195,22.4,486,OK,2026-03-12,7.7,22.0,68.3,2.7,0.69,kale,90,24,35,43,0.15
2026-03-12 12:00:00,Zone_C,25.0,4100,23.4,499,OK,2026-03-12,7.7,22.0,68.3,2.7,0.69,maize,180,20,31,40,0.22
2026-03-13 12:00:00,Zone_A,27.9,4331,15.2,429,OK,2026-03-12,7.7,22.0,68.3,2.7,0.69,tomato,120,22,33,41,0.18
2026-03-13 12:00:00,Zone_B,31.4,4234,22.6,477,OK,2026-03-13,0.0,23.4,63.5,2.01,0.7,kale,90,24,35,43,0.15
2026-03-13 12:00:00,Zone_C,27.3,4054,25.9,499,OK,2026-03-13,0.0,23.4,63.5,2.01,0.7,maize,180,20,31,40,0.22
2026-03-14 12:00:00,Zone_A,26.9,4246,17.5,396,OK,2026-03-13,0.0,23.4,63.5,2.01,0.7,tomato,120,22,33,41,0.18
2026-03-14 12:00:00,Zone_B,30.0,4082,24.5,461,OK,2026-03-14,8.7,24.1,67.0,1.51,0.58,kale,90,24,35,43,0.15
2026-03-15 12:00:00,Zone_A,26.7,4306,19.9,448,OK,2026-03-14,8.7,24.1,67.0,1.51,0.58,tomato,120,22,33,41,0.18
2026-03-15 12:00:00,Zone_B,30.7,4137,20.7,447,OK,2026-03-14,8.7,24.1,67.0,1.51,0.58,kale,90,24,35,43,0.15
2026-03-15 12:00:00,Zone_C,25.3,4076,25.8,492,OK,2026-03-15,13.4,26.0,56.3,2.16,0.5,maize,180,20,31,40,0.22
2026-03-16 12:00:00,Zone_A,29.0,4269,18.9,401,OK,2026-03-15,13.4,26.0,56.3,2.16,0.5,tomato,120,22,33,41,0.18
2026-03-16 12:00:00,Zone_B,30.6,4109,21.1,463,OK,2026-03-15,13.4,26.0,56.3,2.16,0.5,kale,90,24,35,43,0.15
2026-03-16 12:00:00,Zone_C,25.4,4040,25.2,489,OK,2026-03-16,0.3,26.3,63.4,1.69,0.57,maize,180,20,31,40,0.22
2026-03-17 12:00:00,Zone_A,25.9,4136,15.8,435,OK,2026-03-16,0.3,26.3,63.4,1.69,0.57,tomato,120,22,33,41,0.18
2026-03-17 12:00:00,Zone_B,27.8,3961,22.3,452,OK,2026-03-16,0.3,26.3,63.4,1.69,0.57,kale,90,24,35,43,0.15
2026-03-17 12:00:00,Zone_C,24.7,3894,28.1,478,OK,2026-03-17,7.2,26.9,65.1,2.4,0.66,maize,180,20,31,40,0.22
2026-03-18 12:00:00,Zone_A,28.1,4217,18.7,422,OK,2026-03-17,7.2,26.9,65.1,2.4,0.66,tomato,120,22,33,41,0.18
2026-03-18 12:00:00,Zone_B,28.6,3963,22.7,473,OK,2026-03-17,7.2,26.9,65.1,2.4,0.66,kale,90,24,35,43,0.15
2026-03-18 12:00:00,Zone_C,23.4,3902,25.1,523,OK,2026-03-18,26.3,27.4,61.6,2.11,0.76,maize,180,20,31,40,0.22
2026-03-19 12:00:00,Zone_A,27.9,4150,18.3,413,OK,2026-03-18,26.3,27.4,61.6,2.11,0.76,tomato,120,22,33,41,0.18
2026-03-19 12:00:00,Zone_B,27.5,4074,23.5,463,OK,2026-03-18,26.3,27.4,61.6,2.11,0.76,kale,90,24,35,43,0.15
2026-03-19 12:00:00,Zone_C,24.5,4001,24.5,474,OK,2026-03-19,15.2,26.9,60.0,2.47,0.8,maize,180,20,31,40,0.22
2026-03-20 12:00:00,Zone_A,27.5,4078,18.7,422,OK,2026-03-19,15.2,26.9,60.0,2.47,0.8,tomato,120,22,33,41,0.18
2026-03-20 12:00:00,Zone_B,27.9,3971,21.4,460,OK,2026-03-19,15.2,26.9,60.0,2.47,0.8,kale,90,24,35,43,0.15
2026-03-20 12:00:00,Zone_C,23.8,3920,27.5,483,OK,2026-03-20,8.1,25.1,60.0,1.91,0.78,maize,180,20,31,40,0.22
2026-03-21 12:00:00,Zone_A,27.1,4021,18.2,394,OK,2026-03-20,8.1,25.1,60.0,1.91,0.78,tomato,120,22,33,41,0.18
